"AGE","AGE_ADJUSTED_RATE","CRUDE_RATE","EVENT_TYPE","RACE","SEX","SITE","YEAR","COUNT","POPULATION"
"0-19",1.5,1.5,"Incidence","Black","Female","Acute Lymphocytic","2013-2017",509,33639985
"0-19",1.6,1.6,"Incidence","Black","Female","Acute Lymphocytic","2014",107,6712773
"0-19",1.4,1.4,"Incidence","Black","Female","Acute Lymphocytic","2015",93,6718090
"0-19",1.7,1.8,"Incidence","Black","Female","Acute Lymphocytic","2016",118,6737583
"0-19",1.4,1.4,"Incidence","Black","Female","Acute Lymphocytic","2017",96,6748000
"0-19",0.7,0.7,"Incidence","Black","Female","Acute Myeloid","1999",42,6096507
"0-19",0.5,0.5,"Incidence","Black","Female","Acute Myeloid","2000",33,6148394
"0-19",0.5,0.5,"Incidence","Black","Female","Acute Myeloid","2001",30,6268669
"0-19",0.7,0.7,"Incidence","Black","Female","Acute Myeloid","2002",43,6305675
"0-19",0.7,0.7,"Incidence","Black","Female","Acute Myeloid","2003",44,6531905
"0-19",0.6,0.6,"Incidence","Black","Female","Acute Myeloid","2004",37,6574476
"0-19",0.5,0.5,"Incidence","Black","Female","Acute Myeloid","2005",36,6619239
"0-19",0.8,0.8,"Incidence","Black","Female","Acute Myeloid","2006",55,6669710
"0-19",0.5,0.5,"Incidence","Black","Female","Acute Myeloid","2007",37,6730631
"0-19",0.9,0.9,"Incidence","Black","Female","Acute Myeloid","2008",61,6783675
"0-19",0.6,0.6,"Incidence","Black","Female","Acute Myeloid","2009",41,6818532
"0-19",0.6,0.6,"Incidence","Black","Female","Acute Myeloid","2010",43,6815800
"0-19",0.6,0.6,"Incidence","Black","Female","Acute Myeloid","2011",40,6778233
"0-19",0.6,0.6,"Incidence","Black","Female","Acute Myeloid","2012",39,6745778
"0-19",0.8,0.8,"Incidence","Black","Female","Acute Myeloid","2013",53,6723539
"0-19",0.7,0.7,"Incidence","Black","Female","Acute Myeloid","2013-2017",243,33639985
"0-19",0.6,0.6,"Incidence","Black","Female","Acute Myeloid","2014",43,6712773
"0-19",0.8,0.8,"Incidence","Black","Female","Acute Myeloid","2015",55,6718090
"0-19",0.6,0.6,"Incidence","Black","Female","Acute Myeloid","2016",38,6737583
"0-19",0.8,0.8,"Incidence","Black","Female","Acute Myeloid","2017",54,6748000
"0-19",11.4,11.3,"Incidence","Black","Female","All Cancer Sites Combined","1999",690,6096507
"0-19",10.8,10.7,"Incidence","Black","Female","All Cancer Sites Combined","2000",655,6148394
"0-19",11.6,11.5,"Incidence","Black","Female","All Cancer Sites Combined","2001",724,6268669
"0-19",11.6,11.6,"Incidence","Black","Female","All Cancer Sites Combined","2002",732,6305675
"0-19",12.7,12.6,"Incidence","Black","Female","All Cancer Sites Combined","2003",825,6531905
"0-19",12.7,12.7,"Incidence","Black","Female","All Cancer Sites Combined","2004",837,6574476
"0-19",12.5,12.5,"Incidence","Black","Female","All Cancer Sites Combined","2005",830,6619239
"0-19",12.3,12.4,"Incidence","Black","Female","All Cancer Sites Combined","2006",827,6669710
"0-19",12.7,12.9,"Incidence","Black","Female","All Cancer Sites Combined","2007",865,6730631
"0-19",13.2,13.3,"Incidence","Black","Female","All Cancer Sites Combined","2008",904,6783675
"0-19",13,13.1,"Incidence","Black","Female","All Cancer Sites Combined","2009",894,6818532
"0-19",13,13.1,"Incidence","Black","Female","All Cancer Sites Combined","2010",893,6815800
"0-19",12.9,13,"Incidence","Black","Female","All Cancer Sites Combined","2011",879,6778233
"0-19",13.5,13.6,"Incidence","Black","Female","All Cancer Sites Combined","2012",919,6745778
"0-19",13.6,13.7,"Incidence","Black","Female","All Cancer Sites Combined","2013",919,6723539
"0-19",13,13.1,"Incidence","Black","Female","All Cancer Sites Combined","2013-2017",4400,33639985
"0-19",13.1,13.2,"Incidence","Black","Female","All Cancer Sites Combined","2014",883,6712773
"0-19",12.7,12.8,"Incidence","Black","Female","All Cancer Sites Combined","2015",857,6718090
"0-19",12.7,12.8,"Incidence","Black","Female","All Cancer Sites Combined","2016",860,6737583
"0-19",13,13.1,"Incidence","Black","Female","All Cancer Sites Combined","2017",881,6748000
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","1999",40,6096507
"0-19",0.5,0.5,"Incidence","Black","Female","Bones and Joints","2000",31,6148394
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2001",42,6268669
"0-19",0.6,0.7,"Incidence","Black","Female","Bones and Joints","2002",41,6305675
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2003",45,6531905
"0-19",0.9,0.9,"Incidence","Black","Female","Bones and Joints","2004",60,6574476
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2005",45,6619239
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2006",47,6669710
"0-19",0.6,0.6,"Incidence","Black","Female","Bones and Joints","2007",43,6730631
"0-19",0.6,0.6,"Incidence","Black","Female","Bones and Joints","2008",39,6783675
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2009",47,6818532
"0-19",0.8,0.7,"Incidence","Black","Female","Bones and Joints","2010",51,6815800
"0-19",0.6,0.6,"Incidence","Black","Female","Bones and Joints","2011",40,6778233
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2012",46,6745778
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2013",46,6723539
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2013-2017",224,33639985
"0-19",0.6,0.6,"Incidence","Black","Female","Bones and Joints","2014",42,6712773
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2015",47,6718090
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2016",44,6737583
"0-19",0.7,0.7,"Incidence","Black","Female","Bones and Joints","2017",45,6748000
"0-19",1.9,1.9,"Incidence","Black","Female","Brain and Other Nervous System","1999",115,6096507
"0-19",2.1,2.1,"Incidence","Black","Female","Brain and Other Nervous System","2000",130,6148394
"0-19",2.2,2.2,"Incidence","Black","Female","Brain and Other Nervous System","2001",138,6268669
"0-19",2.1,2.1,"Incidence","Black","Female","Brain and Other Nervous System","2002",132,6305675
"0-19",2.2,2.1,"Incidence","Black","Female","Brain and Other Nervous System","2003",140,6531905
"0-19",2.5,2.4,"Incidence","Black","Female","Brain and Other Nervous System","2004",160,6574476
"0-19",2.4,2.3,"Incidence","Black","Female","Brain and Other Nervous System","2005",155,6619239
"0-19",2.4,2.4,"Incidence","Black","Female","Brain and Other Nervous System","2006",159,6669710
"0-19",2.3,2.3,"Incidence","Black","Female","Brain and Other Nervous System","2007",154,6730631
"0-19",2.7,2.7,"Incidence","Black","Female","Brain and Other Nervous System","2008",183,6783675
"0-19",2.4,2.4,"Incidence","Black","Female","Brain and Other Nervous System","2009",163,6818532
"0-19",2.6,2.6,"Incidence","Black","Female","Brain and Other Nervous System","2010",176,6815800
"0-19",2.4,2.4,"Incidence","Black","Female","Brain and Other Nervous System","2011",163,6778233
"0-19",2.3,2.3,"Incidence","Black","Female","Brain and Other Nervous System","2012",152,6745778
"0-19",2.7,2.7,"Incidence","Black","Female","Brain and Other Nervous System","2013",184,6723539
"0-19",2.5,2.5,"Incidence","Black","Female","Brain and Other Nervous System","2013-2017",827,33639985
"0-19",2.5,2.5,"Incidence","Black","Female","Brain and Other Nervous System","2014",167,6712773
"0-19",2.2,2.2,"Incidence","Black","Female","Brain and Other Nervous System","2015",146,6718090
"0-19",2.4,2.4,"Incidence","Black","Female","Brain and Other Nervous System","2016",163,6737583
"0-19",2.5,2.5,"Incidence","Black","Female","Brain and Other Nervous System","2017",167,6748000
"0-19",0.7,0.7,"Incidence","Black","Female","Hodgkin Lymphoma","1999",44,6096507
"0-19",0.8,0.8,"Incidence","Black","Female","Hodgkin Lymphoma","2000",48,6148394
"0-19",0.7,0.7,"Incidence","Black","Female","Hodgkin Lymphoma","2001",42,6268669
"0-19",0.9,0.9,"Incidence","Black","Female","Hodgkin Lymphoma","2002",57,6305675
"0-19",1,0.9,"Incidence","Black","Female","Hodgkin Lymphoma","2003",62,6531905
"0-19",0.9,0.9,"Incidence","Black","Female","Hodgkin Lymphoma","2004",58,6574476
"0-19",1,1.1,"Incidence","Black","Female","Hodgkin Lymphoma","2005",71,6619239
"0-19",0.8,0.8,"Incidence","Black","Female","Hodgkin Lymphoma","2006",54,6669710
"0-19",0.8,0.8,"Incidence","Black","Female","Hodgkin Lymphoma","2007",54,6730631
"0-19",1.1,1.1,"Incidence","Black","Female","Hodgkin Lymphoma","2008",78,6783675
"0-19",1.1,1.1,"Incidence","Black","Female","Hodgkin Lymphoma","2009",75,6818532
"0-19",0.9,0.9,"Incidence","Black","Female","Hodgkin Lymphoma","2010",63,6815800
"0-19",0.9,1,"Incidence","Black","Female","Hodgkin Lymphoma","2011",66,6778233
"0-19",1.1,1.1,"Incidence","Black","Female","Hodgkin Lymphoma","2012",73,6745778
"0-19",1,1,"Incidence","Black","Female","Hodgkin Lymphoma","2013",65,6723539
"0-19",0.9,0.9,"Incidence","Black","Female","Hodgkin Lymphoma","2013-2017",295,33639985
"0-19",0.7,0.7,"Incidence","Black","Female","Hodgkin Lymphoma","2014",49,6712773
"0-19",0.8,0.8,"Incidence","Black","Female","Hodgkin Lymphoma","2015",56,6718090
"0-19",0.8,0.8,"Incidence","Black","Female","Hodgkin Lymphoma","2016",52,6737583
"0-19",1.1,1.1,"Incidence","Black","Female","Hodgkin Lymphoma","2017",73,6748000
"0-19",0.9,0.9,"Incidence","Black","Female","Kidney and Renal Pelvis","1999",55,6096507
"0-19",1.1,1.1,"Incidence","Black","Female","Kidney and Renal Pelvis","2000",65,6148394
"0-19",0.8,0.8,"Incidence","Black","Female","Kidney and Renal Pelvis","2001",49,6268669
"0-19",0.9,0.9,"Incidence","Black","Female","Kidney and Renal Pelvis","2002",57,6305675
"0-19",0.7,0.7,"Incidence","Black","Female","Kidney and Renal Pelvis","2003",46,6531905
"0-19",0.7,0.7,"Incidence","Black","Female","Kidney and Renal Pelvis","2004",44,6574476
"0-19",1,1,"Incidence","Black","Female","Kidney and Renal Pelvis","2005",63,6619239
"0-19",0.8,0.7,"Incidence","Black","Female","Kidney and Renal Pelvis","2006",50,6669710
"0-19",0.9,0.9,"Incidence","Black","Female","Kidney and Renal Pelvis","2007",59,6730631
"0-19",0.9,0.9,"Incidence","Black","Female","Kidney and Renal Pelvis","2008",61,6783675
"0-19",1,1,"Incidence","Black","Female","Kidney and Renal Pelvis","2009",66,6818532
"0-19",0.8,0.8,"Incidence","Black","Female","Kidney and Renal Pelvis","2010",54,6815800
"0-19",1.1,1.1,"Incidence","Black","Female","Kidney and Renal Pelvis","2011",72,6778233
"0-19",0.9,0.9,"Incidence","Black","Female","Kidney and Renal Pelvis","2012",61,6745778
"0-19",1,1,"Incidence","Black","Female","Kidney and Renal Pelvis","2013",66,6723539
"0-19",0.9,0.9,"Incidence","Black","Female","Kidney and Renal Pelvis","2013-2017",314,33639985
"0-19",1,1,"Incidence","Black","Female","Kidney and Renal Pelvis","2014",68,6712773
"0-19",1,1,"Incidence","Black","Female","Kidney and Renal Pelvis","2015",69,6718090
"0-19",0.8,0.8,"Incidence","Black","Female","Kidney and Renal Pelvis","2016",54,6737583
"0-19",0.8,0.8,"Incidence","Black","Female","Kidney and Renal Pelvis","2017",57,6748000
"0-19",2.4,2.4,"Incidence","Black","Female","Leukemia","1999",146,6096507
"0-19",2.2,2.2,"Incidence","Black","Female","Leukemia","2000",133,6148394
"0-19",2.3,2.3,"Incidence","Black","Female","Leukemia","2001",146,6268669
"0-19",2.3,2.3,"Incidence","Black","Female","Leukemia","2002",147,6305675
"0-19",2.2,2.2,"Incidence","Black","Female","Leukemia","2003",145,6531905
"0-19",2.4,2.4,"Incidence","Black","Female","Leukemia","2004",156,6574476
"0-19",2.2,2.1,"Incidence","Black","Female","Leukemia","2005",142,6619239
"0-19",2.6,2.5,"Incidence","Black","Female","Leukemia","2006",169,6669710
"0-19",2.5,2.5,"Incidence","Black","Female","Leukemia","2007",165,6730631
"0-19",2.6,2.6,"Incidence","Black","Female","Leukemia","2008",176,6783675
"0-19",2.3,2.3,"Incidence","Black","Female","Leukemia","2009",158,6818532
"0-19",2.4,2.4,"Incidence","Black","Female","Leukemia","2010",166,6815800
"0-19",2.3,2.3,"Incidence","Black","Female","Leukemia","2011",157,6778233
"0-19",2.4,2.4,"Incidence","Black","Female","Leukemia","2012",165,6745778
"0-19",2.4,2.5,"Incidence","Black","Female","Leukemia","2013",165,6723539
"0-19",2.5,2.5,"Incidence","Black","Female","Leukemia","2013-2017",850,33639985
"0-19",2.5,2.5,"Incidence","Black","Female","Leukemia","2014",170,6712773
"0-19",2.5,2.5,"Incidence","Black","Female","Leukemia","2015",169,6718090
"0-19",2.6,2.6,"Incidence","Black","Female","Leukemia","2016",176,6737583
"0-19",2.5,2.5,"Incidence","Black","Female","Leukemia","2017",170,6748000
"0-19",0.6,0.6,"Incidence","Black","Female","Non-Hodgkin Lymphoma","1999",38,6096507
"0-19",0.6,0.6,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2000",36,6148394
"0-19",0.8,0.8,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2001",51,6268669
"0-19",0.8,0.8,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2002",52,6305675
"0-19",0.7,0.7,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2003",46,6531905
"0-19",0.9,0.9,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2004",57,6574476
"0-19",0.8,0.8,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2005",55,6619239
"0-19",0.8,0.9,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2006",58,6669710
"0-19",0.7,0.7,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2007",50,6730631
"0-19",0.9,0.9,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2008",63,6783675
"0-19",0.6,0.6,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2009",40,6818532
"0-19",0.8,0.8,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2010",53,6815800
"0-19",0.6,0.6,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2011",40,6778233
"0-19",0.9,0.9,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2012",60,6745778
"0-19",0.7,0.7,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2013",49,6723539
"0-19",0.8,0.7,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2013-2017",252,33639985
"0-19",0.8,0.8,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2014",56,6712773
"0-19",0.7,0.7,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2015",45,6718090
"0-19",0.8,0.8,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2016",52,6737583
"0-19",0.7,0.7,"Incidence","Black","Female","Non-Hodgkin Lymphoma","2017",50,6748000
"0-19",3.5,3.4,"Incidence","Black","Female","Other","1999",206,6096507
"0-19",2.6,2.5,"Incidence","Black","Female","Other","2000",155,6148394
"0-19",3.3,3.3,"Incidence","Black","Female","Other","2001",207,6268669
"0-19",3,3,"Incidence","Black","Female","Other","2002",191,6305675
"0-19",4.3,4.3,"Incidence","Black","Female","Other","2003",283,6531905
"0-19",3.4,3.4,"Incidence","Black","Female","Other","2004",221,6574476
"0-19",3.7,3.8,"Incidence","Black","Female","Other","2005",249,6619239
"0-19",3.4,3.5,"Incidence","Black","Female","Other","2006",231,6669710
"0-19",3.8,3.9,"Incidence","Black","Female","Other","2007",265,6730631
"0-19",3.4,3.5,"Incidence","Black","Female","Other","2008",239,6783675
"0-19",4,4.1,"Incidence","Black","Female","Other","2009",282,6818532
"0-19",3.6,3.7,"Incidence","Black","Female","Other","2010",252,6815800
"0-19",4,4.1,"Incidence","Black","Female","Other","2011",278,6778233
"0-19",4.3,4.4,"Incidence","Black","Female","Other","2012",294,6745778
"0-19",4,4.1,"Incidence","Black","Female","Other","2013",274,6723539
"0-19",3.9,3.9,"Incidence","Black","Female","Other","2013-2017",1318,33639985
"0-19",4,4,"Incidence","Black","Female","Other","2014",270,6712773
"0-19",3.8,3.8,"Incidence","Black","Female","Other","2015",256,6718090
"0-19",3.8,3.8,"Incidence","Black","Female","Other","2016",254,6737583
"0-19",3.9,3.9,"Incidence","Black","Female","Other","2017",264,6748000
"0-19",0.8,0.8,"Incidence","Black","Female","Soft Tissue","1999",46,6096507
"0-19",0.9,0.9,"Incidence","Black","Female","Soft Tissue","2000",57,6148394
"0-19",0.8,0.8,"Incidence","Black","Female","Soft Tissue","2001",49,6268669
"0-19",0.9,0.9,"Incidence","Black","Female","Soft Tissue","2002",55,6305675
"0-19",0.9,0.9,"Incidence","Black","Female","Soft Tissue","2003",58,6531905
"0-19",1.2,1.2,"Incidence","Black","Female","Soft Tissue","2004",81,6574476
"0-19",0.8,0.8,"Incidence","Black","Female","Soft Tissue","2005",50,6619239
"0-19",0.9,0.9,"Incidence","Black","Female","Soft Tissue","2006",59,6669710
"0-19",1.1,1.1,"Incidence","Black","Female","Soft Tissue","2007",75,6730631
"0-19",0.9,1,"Incidence","Black","Female","Soft Tissue","2008",65,6783675
"0-19",0.9,0.9,"Incidence","Black","Female","Soft Tissue","2009",63,6818532
"0-19",1.1,1.1,"Incidence","Black","Female","Soft Tissue","2010",78,6815800
"0-19",0.9,0.9,"Incidence","Black","Female","Soft Tissue","2011",63,6778233
"0-19",1,1,"Incidence","Black","Female","Soft Tissue","2012",68,6745778
"0-19",1,1,"Incidence","Black","Female","Soft Tissue","2013",70,6723539
"0-19",0.9,1,"Incidence","Black","Female","Soft Tissue","2013-2017",320,33639985
"0-19",0.9,0.9,"Incidence","Black","Female","Soft Tissue","2014",61,6712773
"0-19",1,1,"Incidence","Black","Female","Soft Tissue","2015",69,6718090
"0-19",1,1,"Incidence","Black","Female","Soft Tissue","2016",65,6737583
"0-19",0.8,0.8,"Incidence","Black","Female","Soft Tissue","2017",55,6748000
"0-19",1.9,1.9,"Incidence","Black","Male","Acute Lymphocytic","1999",118,6278107
"0-19",1.6,1.6,"Incidence","Black","Male","Acute Lymphocytic","2000",100,6340366
"0-19",1.6,1.6,"Incidence","Black","Male","Acute Lymphocytic","2001",106,6477063
"0-19",1.8,1.8,"Incidence","Black","Male","Acute Lymphocytic","2002",116,6518746
"0-19",1.7,1.7,"Incidence","Black","Male","Acute Lymphocytic","2003",114,6745738
"0-19",2,2,"Incidence","Black","Male","Acute Lymphocytic","2004",135,6788131
"0-19",2.2,2.1,"Incidence","Black","Male","Acute Lymphocytic","2005",146,6835676
"0-19",2.2,2.1,"Incidence","Black","Male","Acute Lymphocytic","2006",148,6889182
"0-19",2.4,2.3,"Incidence","Black","Male","Acute Lymphocytic","2007",163,6956319
"0-19",1.8,1.8,"Incidence","Black","Male","Acute Lymphocytic","2008",128,7012917
"0-19",2.2,2.2,"Incidence","Black","Male","Acute Lymphocytic","2009",155,7049084
"0-19",2.5,2.5,"Incidence","Black","Male","Acute Lymphocytic","2010",173,7051123
"0-19",2.1,2.1,"Incidence","Black","Male","Acute Lymphocytic","2011",148,7018928
"0-19",2.2,2.2,"Incidence","Black","Male","Acute Lymphocytic","2012",156,6984254
"0-19",1.8,1.8,"Incidence","Black","Male","Acute Lymphocytic","2013",124,6955133
"0-19",1.9,1.9,"Incidence","Black","Male","Acute Lymphocytic","2013-2017",653,34778312
"0-19",1.8,1.8,"Incidence","Black","Male","Acute Lymphocytic","2014",124,6940903
"0-19",1.9,1.9,"Incidence","Black","Male","Acute Lymphocytic","2015",134,6944936
"0-19",2,2,"Incidence","Black","Male","Acute Lymphocytic","2016",142,6963276
"0-19",1.8,1.8,"Incidence","Black","Male","Acute Lymphocytic","2017",129,6974064
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","1999",44,6278107
"0-19",0.7,0.6,"Incidence","Black","Male","Acute Myeloid","2000",41,6340366
"0-19",0.5,0.5,"Incidence","Black","Male","Acute Myeloid","2001",33,6477063
"0-19",0.6,0.6,"Incidence","Black","Male","Acute Myeloid","2002",41,6518746
"0-19",0.8,0.8,"Incidence","Black","Male","Acute Myeloid","2003",56,6745738
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","2004",50,6788131
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","2005",46,6835676
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","2006",49,6889182
"0-19",0.4,0.4,"Incidence","Black","Male","Acute Myeloid","2007",31,6956319
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","2008",46,7012917
"0-19",0.5,0.5,"Incidence","Black","Male","Acute Myeloid","2009",37,7049084
"0-19",0.6,0.6,"Incidence","Black","Male","Acute Myeloid","2010",41,7051123
"0-19",0.8,0.8,"Incidence","Black","Male","Acute Myeloid","2011",56,7018928
"0-19",0.6,0.6,"Incidence","Black","Male","Acute Myeloid","2012",45,6984254
"0-19",0.6,0.6,"Incidence","Black","Male","Acute Myeloid","2013",44,6955133
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","2013-2017",251,34778312
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","2014",47,6940903
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","2015",50,6944936
"0-19",0.8,0.8,"Incidence","Black","Male","Acute Myeloid","2016",58,6963276
"0-19",0.7,0.7,"Incidence","Black","Male","Acute Myeloid","2017",52,6974064
"0-19",12.1,12,"Incidence","Black","Male","All Cancer Sites Combined","1999",752,6278107
"0-19",12.3,12.2,"Incidence","Black","Male","All Cancer Sites Combined","2000",774,6340366
"0-19",12.2,12.1,"Incidence","Black","Male","All Cancer Sites Combined","2001",785,6477063
"0-19",12.3,12.2,"Incidence","Black","Male","All Cancer Sites Combined","2002",797,6518746
"0-19",13,13,"Incidence","Black","Male","All Cancer Sites Combined","2003",875,6745738
"0-19",13.5,13.5,"Incidence","Black","Male","All Cancer Sites Combined","2004",917,6788131
"0-19",13.8,13.8,"Incidence","Black","Male","All Cancer Sites Combined","2005",941,6835676
"0-19",13.5,13.6,"Incidence","Black","Male","All Cancer Sites Combined","2006",937,6889182
"0-19",13.2,13.4,"Incidence","Black","Male","All Cancer Sites Combined","2007",929,6956319
"0-19",14.7,14.9,"Incidence","Black","Male","All Cancer Sites Combined","2008",1042,7012917
"0-19",13.5,13.6,"Incidence","Black","Male","All Cancer Sites Combined","2009",959,7049084
"0-19",14.7,14.8,"Incidence","Black","Male","All Cancer Sites Combined","2010",1047,7051123
"0-19",13.8,13.9,"Incidence","Black","Male","All Cancer Sites Combined","2011",974,7018928
"0-19",13.8,13.9,"Incidence","Black","Male","All Cancer Sites Combined","2012",970,6984254
"0-19",14,14.1,"Incidence","Black","Male","All Cancer Sites Combined","2013",979,6955133
"0-19",14.3,14.3,"Incidence","Black","Male","All Cancer Sites Combined","2013-2017",4975,34778312
"0-19",14,14.1,"Incidence","Black","Male","All Cancer Sites Combined","2014",976,6940903
"0-19",14.9,14.9,"Incidence","Black","Male","All Cancer Sites Combined","2015",1037,6944936
"0-19",15,15,"Incidence","Black","Male","All Cancer Sites Combined","2016",1046,6963276
"0-19",13.4,13.4,"Incidence","Black","Male","All Cancer Sites Combined","2017",937,6974064
"0-19",0.9,0.9,"Incidence","Black","Male","Bones and Joints","1999",56,6278107
"0-19",0.7,0.7,"Incidence","Black","Male","Bones and Joints","2000",46,6340366
"0-19",0.7,0.7,"Incidence","Black","Male","Bones and Joints","2001",46,6477063
"0-19",0.8,0.8,"Incidence","Black","Male","Bones and Joints","2002",52,6518746
"0-19",0.7,0.7,"Incidence","Black","Male","Bones and Joints","2003",48,6745738
"0-19",0.9,0.9,"Incidence","Black","Male","Bones and Joints","2004",62,6788131
"0-19",0.9,0.9,"Incidence","Black","Male","Bones and Joints","2005",64,6835676
"0-19",0.8,0.9,"Incidence","Black","Male","Bones and Joints","2006",59,6889182
"0-19",0.7,0.7,"Incidence","Black","Male","Bones and Joints","2007",52,6956319
"0-19",0.8,0.9,"Incidence","Black","Male","Bones and Joints","2008",60,7012917
"0-19",0.7,0.7,"Incidence","Black","Male","Bones and Joints","2009",49,7049084
"0-19",0.8,0.8,"Incidence","Black","Male","Bones and Joints","2010",59,7051123
"0-19",0.6,0.7,"Incidence","Black","Male","Bones and Joints","2011",46,7018928
"0-19",0.8,0.8,"Incidence","Black","Male","Bones and Joints","2012",56,6984254
"0-19",0.8,0.8,"Incidence","Black","Male","Bones and Joints","2013",53,6955133
"0-19",0.8,0.8,"Incidence","Black","Male","Bones and Joints","2013-2017",271,34778312
"0-19",0.8,0.8,"Incidence","Black","Male","Bones and Joints","2014",53,6940903
"0-19",0.8,0.8,"Incidence","Black","Male","Bones and Joints","2015",57,6944936
"0-19",0.8,0.8,"Incidence","Black","Male","Bones and Joints","2016",56,6963276
"0-19",0.7,0.7,"Incidence","Black","Male","Bones and Joints","2017",52,6974064
"0-19",2.3,2.3,"Incidence","Black","Male","Brain and Other Nervous System","1999",144,6278107
"0-19",2.5,2.5,"Incidence","Black","Male","Brain and Other Nervous System","2000",158,6340366
"0-19",2.1,2.1,"Incidence","Black","Male","Brain and Other Nervous System","2001",136,6477063
"0-19",2.5,2.5,"Incidence","Black","Male","Brain and Other Nervous System","2002",161,6518746
"0-19",2.3,2.3,"Incidence","Black","Male","Brain and Other Nervous System","2003",155,6745738
"0-19",2.5,2.5,"Incidence","Black","Male","Brain and Other Nervous System","2004",170,6788131
"0-19",2.3,2.3,"Incidence","Black","Male","Brain and Other Nervous System","2005",154,6835676
"0-19",2.2,2.2,"Incidence","Black","Male","Brain and Other Nervous System","2006",153,6889182
"0-19",2.1,2.1,"Incidence","Black","Male","Brain and Other Nervous System","2007",145,6956319
"0-19",2.9,2.8,"Incidence","Black","Male","Brain and Other Nervous System","2008",199,7012917
"0-19",2.5,2.5,"Incidence","Black","Male","Brain and Other Nervous System","2009",178,7049084
"0-19",2.8,2.7,"Incidence","Black","Male","Brain and Other Nervous System","2010",193,7051123
"0-19",2.9,2.9,"Incidence","Black","Male","Brain and Other Nervous System","2011",203,7018928
"0-19",2.7,2.7,"Incidence","Black","Male","Brain and Other Nervous System","2012",189,6984254
"0-19",2.5,2.5,"Incidence","Black","Male","Brain and Other Nervous System","2013",175,6955133
"0-19",2.6,2.6,"Incidence","Black","Male","Brain and Other Nervous System","2013-2017",909,34778312
"0-19",2.4,2.4,"Incidence","Black","Male","Brain and Other Nervous System","2014",170,6940903
"0-19",2.8,2.9,"Incidence","Black","Male","Brain and Other Nervous System","2015",198,6944936
"0-19",2.6,2.6,"Incidence","Black","Male","Brain and Other Nervous System","2016",183,6963276
"0-19",2.6,2.6,"Incidence","Black","Male","Brain and Other Nervous System","2017",183,6974064
"0-19",1,1,"Incidence","Black","Male","Hodgkin Lymphoma","1999",63,6278107
"0-19",1.1,1.1,"Incidence","Black","Male","Hodgkin Lymphoma","2000",68,6340366
"0-19",1,1,"Incidence","Black","Male","Hodgkin Lymphoma","2001",65,6477063
"0-19",0.9,0.9,"Incidence","Black","Male","Hodgkin Lymphoma","2002",59,6518746
"0-19",0.9,0.9,"Incidence","Black","Male","Hodgkin Lymphoma","2003",64,6745738
"0-19",1,1,"Incidence","Black","Male","Hodgkin Lymphoma","2004",69,6788131
"0-19",1.2,1.2,"Incidence","Black","Male","Hodgkin Lymphoma","2005",85,6835676
"0-19",1,1,"Incidence","Black","Male","Hodgkin Lymphoma","2006",72,6889182
"0-19",1.1,1.1,"Incidence","Black","Male","Hodgkin Lymphoma","2007",78,6956319
"0-19",1.2,1.2,"Incidence","Black","Male","Hodgkin Lymphoma","2008",87,7012917
